INDEX,MEMBERSHIP_NUMBER,MEMBERSHIP_TERM_YEARS,ANNUAL_FEES,MEMBER_MARITAL_STATUS,MEMBER_GENDER,MEMBER_ANNUAL_INCOME,MEMBER_OCCUPATION_CD,MEMBERSHIP_PACKAGE,MEMBER_AGE_AT_ISSUE,ADDITIONAL_MEMBERS,PAYMENT_MODE,AGENT_CODE,START_DATE,END_DATE,MEMBERSHIP_STATUS
5944,A05948,12,100000,,M,399996,1,TYPE-B,43,2,ANNUAL,1194400,20110929,20121119,CANCELLED
5487,A05490,17,100514.23,M,F,549996,1,TYPE-A,40,2,ANNUAL,739244,20110311,20120410,CANCELLED
9089,A09094,12,100000.8,M,M,1299996,1,TYPE-B,40,2,MONTHLY,1341388,20130625,,INFORCE
5338,A05341,12,100000.99,M,M,500004,1,TYPE-B,50,3,ANNUAL,261533,20110203,20120328,CANCELLED
8163,A08168,12,200001.6,,M,499992,2,TYPE-B,45,2,MONTHLY,1355055,20130228,20130727,CANCELLED
5538,A05541,12,100000.8,M,M,298992,1,TYPE-B,45,3,MONTHLY,570900,20110321,,INFORCE
0,A00001,29,113125,M,M,25200000,1,TYPE-B,45,2,ANNUAL,477,20060914,,INFORCE
9218,A09223,12,144001.08,M,F,999996,2,TYPE-B,43,2,MONTHLY,1428055,20130628,,INFORCE
349,A00350,17,180000,M,M,750000,1,TYPE-B,33,1,MONTHLY,210511,20080331,20080727,CANCELLED
4002,A04004,27,100000,,,,1,TYPE-B,60,3,ANNUAL,937399,20100604,,INFORCE
6335,A06340,12,100000,M,M,1299996,2,TYPE-B,37,2,ANNUAL,1219222,20120131,20130329,CANCELLED
3593,A03595,42,100000,M,M,11127360,1,TYPE-B,53,2,ANNUAL,886533,20100331,20120527,CANCELLED
2586,A02587,22,100000,M,M,800004,1,TYPE-B,40,2,ANNUAL,849044,20100113,,INFORCE
9556,A09561,17,151999.93,,M,,6,TYPE-A,75,2,ANNUAL,1267733,20130823,,INFORCE
3204,A03206,52,100000,M,F,,4,TYPE-B,43,1,ANNUAL,343344,20100309,,INFORCE
8718,A08723,98,104045.93,,M,1099992,1,TYPE-A,36,0,ANNUAL,33666,20130331,,INFORCE
8678,A08683,17,206182.09,M,F,349992,2,TYPE-A,29,1,ANNUAL,1305711,20130331,,INFORCE
