INDEX,MEMBERSHIP_NUMBER,MEMBERSHIP_TERM_YEARS,ANNUAL_FEES,MEMBER_MARITAL_STATUS,MEMBER_GENDER,MEMBER_ANNUAL_INCOME,MEMBER_OCCUPATION_CD,MEMBERSHIP_PACKAGE,MEMBER_AGE_AT_ISSUE,ADDITIONAL_MEMBERS,PAYMENT_MODE,AGENT_CODE,START_DATE,END_DATE,MEMBERSHIP_STATUS
0,A00001,29,113125,M,M,25200000,1,TYPE-B,45,2,ANNUAL,477,20060914,,INFORCE
1,A00002,38,112220,M,M,10339200,1,TYPE-B,36,3,QUARTERLY,255,20061102,,INFORCE
2,A00003,12,100000,M,M,14400000,1,TYPE-B,42,1,ANNUAL,7866,20070124,,INFORCE
4,A00005,46,100000,M,M,4800000,1,TYPE-B,27,2,QUARTERLY,6988,20070131,,INFORCE
5,A00006,12,110000,,,,1,TYPE-B,48,3,ANNUAL,5311,20070215,,INFORCE
6,A00007,36,100000,M,M,24000000,1,TYPE-B,39,2,ANNUAL,4055,20070221,,INFORCE
7,A00008,12,120000,M,M,3600000,1,TYPE-B,28,1,QUARTERLY,13100,20070312,20090811,CANCELLED
9,A00010,33,102700,M,M,14400000,1,TYPE-B,42,2,SEMI-ANNUAL,11266,20070330,,INFORCE
10,A00011,12,1000000,M,M,5047008,1,TYPE-B,38,3,ANNUAL,11933,20070330,,INFORCE
11,A00012,39,100000,M,M,3600000,1,TYPE-B,35,3,ANNUAL,9499,20070330,,INFORCE
12,A00013,12,100000,,,,1,TYPE-B,42,3,QUARTERLY,13900,20070328,20070827,CANCELLED
13,A00014,36,101350,M,M,21600000,1,TYPE-B,38,3,ANNUAL,344,20070330,,INFORCE
15,A00016,12,600000,M,M,1740000,1,TYPE-B,36,1,ANNUAL,11933,20070330,,INFORCE
16,A00017,12,200000,M,M,24000000,1,TYPE-B,39,2,QUARTERLY,1422,20070424,,INFORCE
17,A00018,12,200000,S,M,2520000,1,TYPE-B,35,0,QUARTERLY,11855,20070425,20080624,CANCELLED
18,A00019,12,200000,M,M,8880000,1,TYPE-B,29,3,ANNUAL,12344,20070605,20080804,CANCELLED
19,A00020,12,100000.8,S,M,5040000,1,TYPE-B,28,0,MONTHLY,355,20070507,20070905,CANCELLED
20,A00021,12,150000,S,M,600000,1,TYPE-B,27,0,ANNUAL,5766,20070521,,INFORCE
21,A00022,12,100000,S,M,200004,1,TYPE-B,25,0,ANNUAL,2344,20070530,,INFORCE
22,A00023,37,100000,M,M,720000,1,TYPE-B,38,2,ANNUAL,7555,20070615,,INFORCE
23,A00024,12,100000,M,F,135096,1,TYPE-B,39,1,ANNUAL,11544,20070625,,INFORCE
24,A00025,12,125000,M,M,480000,1,TYPE-B,29,2,ANNUAL,27288,20070627,,INFORCE
25,A00026,12,100000,M,M,399996,1,TYPE-B,22,3,SEMI-ANNUAL,23766,20070629,,INFORCE
26,A00027,12,200000,S,M,200004,1,TYPE-B,22,0,SEMI-ANNUAL,30522,20070718,,INFORCE
27,A00028,12,100000,M,M,360000,1,TYPE-B,59,3,SEMI-ANNUAL,7999,20070709,,INFORCE
28,A00029,12,100000,,,,1,TYPE-B,56,0,ANNUAL,5311,20070629,,INFORCE
30,A00031,12,100000,M,M,245004,1,TYPE-B,44,1,QUARTERLY,26055,20070629,,INFORCE
32,A00033,12,500000,M,M,1500000,1,TYPE-B,46,3,ANNUAL,37900,20070824,,INFORCE
34,A00035,12,100000,S,M,249996,1,TYPE-B,28,0,SEMI-ANNUAL,41000,20070831,20081027,CANCELLED
36,A00037,64,100000.02,,,,1,TYPE-B,44,0,ANNUAL,32477,20070831,,INFORCE
37,A00038,37,100000,,,,1,TYPE-B,44,3,ANNUAL,32488,20070831,,INFORCE
38,A00039,12,100000,M,M,200004,1,TYPE-B,34,3,ANNUAL,53777,20070823,,INFORCE
40,A00041,12,500004.96,M,M,399996,1,TYPE-B,29,2,MONTHLY,200533,20070911,,INFORCE
41,A00042,32,100000,S,M,1800000,1,TYPE-B,42,0,SEMI-ANNUAL,7377,20071004,,INFORCE
42,A00043,12,100000,M,F,,4,TYPE-B,28,3,ANNUAL,16844,20070919,,INFORCE
43,A00044,12,271007.1,M,M,12000000,1,TYPE-A,51,3,ANNUAL,32477,20070927,20101027,CANCELLED
44,A00045,53,199999.99,,,,1,TYPE-B,44,0,ANNUAL,11266,20070928,20081127,CANCELLED
45,A00046,12,100000,M,M,600000,1,TYPE-B,28,3,SEMI-ANNUAL,44511,20071031,20080627,CANCELLED
46,A00047,17,249995.88,M,M,357000,1,TYPE-B,30,2,MONTHLY,30066,20070928,20090827,CANCELLED
48,A00049,17,100000,M,M,350004,1,TYPE-B,35,2,SEMI-ANNUAL,67933,20070928,,INFORCE
49,A00050,12,100000,M,M,399996,1,TYPE-B,33,1,ANNUAL,63288,20071005,,INFORCE
50,A00051,12,150000,M,M,1083324,1,TYPE-B,47,3,ANNUAL,47399,20070928,,INFORCE
51,A00052,17,100000,S,M,1800000,1,TYPE-B,42,0,SEMI-ANNUAL,7377,20071004,,INFORCE
52,A00053,37,100000,M,M,999996,1,TYPE-B,38,3,SEMI-ANNUAL,30244,20071009,20110608,CANCELLED
53,A00054,12,100000,,,,1,TYPE-B,36,2,ANNUAL,39011,20070928,,INFORCE
54,A00055,12,200000,S,M,804000,1,TYPE-B,28,0,ANNUAL,29955,20070928,,INFORCE
55,A00056,17,119999.88,M,M,300000,1,TYPE-B,56,3,MONTHLY,87822,20071123,,INFORCE
56,A00057,12,100000,S,M,399996,5,TYPE-B,28,0,ANNUAL,38555,20071026,20081225,CANCELLED
57,A00058,12,100000,M,F,,4,TYPE-B,37,3,ANNUAL,1800,20071015,,INFORCE
58,A00059,17,100000,M,M,2100000,5,TYPE-B,57,3,ANNUAL,2344,20071031,,INFORCE
59,A00060,35,180001.44,M,M,380004,1,TYPE-B,39,2,MONTHLY,29322,20071031,,INFORCE
60,A00061,17,100000,,,,1,TYPE-B,40,0,ANNUAL,47399,20071019,,INFORCE
61,A00062,17,100000,M,M,999996,1,TYPE-B,34,1,ANNUAL,27355,20071031,,INFORCE
62,A00063,71,100000.02,,,,1,TYPE-B,40,0,ANNUAL,47399,20071122,,INFORCE
64,A00065,12,200000,M,F,,4,TYPE-B,53,1,ANNUAL,27933,20071116,20090115,CANCELLED
65,A00066,17,100000,M,M,750000,1,TYPE-B,44,1,ANNUAL,42555,20071031,,INFORCE
66,A00067,12,100000,M,M,399996,1,TYPE-B,34,3,QUARTERLY,68022,20071105,,INFORCE
67,A00068,12,120000.96,S,M,453996,1,TYPE-B,25,0,MONTHLY,34799,20071031,,INFORCE
68,A00069,17,100000,M,M,108036,1,TYPE-B,34,2,ANNUAL,91233,20071114,20110113,CANCELLED
69,A00070,17,200000,M,M,600000,1,TYPE-B,43,1,ANNUAL,41611,20071126,20090125,CANCELLED
70,A00071,17,125000,M,M,999996,1,TYPE-B,48,3,ANNUAL,41688,20071114,,INFORCE
71,A00072,17,100000,,,,1,TYPE-B,30,0,ANNUAL,33844,20071114,,INFORCE
72,A00073,44,103375,S,M,2499996,1,TYPE-B,28,0,ANNUAL,108599,20071127,,INFORCE
73,A00074,12,150000,S,M,300000,5,TYPE-B,23,0,ANNUAL,111799,20071129,,INFORCE
74,A00075,12,100000,M,M,188604,1,TYPE-B,45,2,ANNUAL,110600,20071120,,INFORCE
75,A00076,17,103998.96,M,M,3600000,5,TYPE-B,57,2,ANNUAL,2299,20080222,20110423,CANCELLED
77,A00078,17,251000,M,M,360000,1,TYPE-B,34,2,ANNUAL,41788,20071129,20100127,CANCELLED
78,A00079,12,100238.28,,,,1,TYPE-B,43,2,MONTHLY,117722,20071226,,INFORCE
79,A00080,57,100000.02,,,,1,TYPE-B,50,0,ANNUAL,51944,20071130,20090127,CANCELLED
81,A00082,12,201000,M,M,,6,TYPE-B,51,1,ANNUAL,119477,20071130,20100127,CANCELLED
82,A00083,27,100000,M,M,399996,1,TYPE-B,38,3,SEMI-ANNUAL,56900,20071130,,INFORCE
83,A00084,12,150000,M,M,450000,1,TYPE-B,30,3,ANNUAL,98022,20071128,,INFORCE
84,A00085,17,100001.76,,,,1,TYPE-B,29,0,MONTHLY,7555,20071130,20110926,CANCELLED
85,A00086,27,100000,S,M,240000,1,TYPE-B,25,0,SEMI-ANNUAL,31711,20071130,20100727,CANCELLED
86,A00087,12,125000,M,M,500004,5,TYPE-B,37,3,ANNUAL,57322,20071130,20090127,CANCELLED
87,A00088,12,240001.92,,,,1,TYPE-B,59,0,MONTHLY,125500,20071130,,INFORCE
89,A00090,17,100000,M,F,,4,TYPE-B,35,1,ANNUAL,105755,20071231,20090226,CANCELLED
90,A00091,17,100000,M,M,600000,1,TYPE-B,50,3,ANNUAL,2422,20071231,,INFORCE
91,A00092,17,100000,,,,1,TYPE-B,56,0,ANNUAL,37711,20071211,,INFORCE
93,A00094,17,100000,M,M,324996,1,TYPE-B,57,2,ANNUAL,27933,20071231,20090226,CANCELLED
94,A00095,27,100000,M,M,1250004,5,TYPE-B,36,1,ANNUAL,7555,20071220,20090218,CANCELLED
95,A00096,12,150000,,,,4,TYPE-B,27,3,ANNUAL,122577,20071231,20090226,CANCELLED
97,A00098,12,119999.88,S,M,450000,1,TYPE-B,24,0,MONTHLY,91744,20071224,20080422,CANCELLED
98,A00099,12,105000,S,M,600000,1,TYPE-B,26,0,SEMI-ANNUAL,111433,20071219,,INFORCE
99,A00100,17,100000,M,F,150000,1,TYPE-B,55,2,SEMI-ANNUAL,152900,20071231,,INFORCE
100,A00101,12,1050000,M,M,1950000,1,TYPE-B,45,1,ANNUAL,154400,20071231,20090226,CANCELLED
102,A00103,12,150000,W,F,324996,1,TYPE-B,43,0,ANNUAL,88799,20071231,20090226,CANCELLED
103,A00104,17,100000,,,,1,TYPE-B,51,0,SEMI-ANNUAL,26511,20071226,20080825,CANCELLED
104,A00105,12,100000,M,F,125004,1,TYPE-B,47,3,ANNUAL,119633,20071231,,INFORCE
105,A00106,17,200000,,,,1,TYPE-B,47,3,ANNUAL,62822,20080117,,INFORCE
109,A00110,17,100000,M,M,399996,1,TYPE-B,36,2,ANNUAL,11988,20071227,,INFORCE
110,A00111,12,240001.92,,,,1,TYPE-B,59,0,MONTHLY,125500,20071227,20080626,CANCELLED
111,A00112,17,100000.8,S,F,,4,TYPE-B,20,0,MONTHLY,13111,20071231,,INFORCE
112,A00113,17,100000,,,,1,TYPE-B,45,0,SEMI-ANNUAL,33844,20071231,,INFORCE
113,A00114,50,199998,M,M,600000,1,TYPE-B,34,2,SEMI-ANNUAL,130999,20071231,,INFORCE
114,A00115,41,100000,M,M,699996,1,TYPE-B,43,2,ANNUAL,144355,20071231,,INFORCE
115,A00116,12,100000,,,,1,TYPE-B,63,2,ANNUAL,19733,20080107,,INFORCE
116,A00117,17,100000,S,M,900000,1,TYPE-B,25,0,ANNUAL,117155,20071231,,INFORCE
117,A00118,12,150000,S,F,200004,1,TYPE-B,27,0,SEMI-ANNUAL,132500,20071231,,INFORCE
