MEMBERSHIP_STATUS,MEMBERSHIP_TERM_YEARS_MINMAX_SC,MEMBERSHIP_TERM_YEARS_STD_SC,ANNUAL_FEES_MINMAX_SC,ANNUAL_FEES_STD_SC,MEMBER_MARITAL_STATUS_MOST_CAT,MEMBER_GENDER_MOST_CAT,MEMBER_ANNUAL_INCOME_AVG_MINMAX_SC,MEMBER_ANNUAL_INCOME_AVG_STD_SC,MEMBER_OCCUPATION_CD_CAT,MEMBERSHIP_PACKAGE_CAT,MEMBER_AGE_AT_ISSUE_MINMAX_SC,ADDITIONAL_MEMBERS_CAT,PAYMENT_MODE_CAT,START_DATE_MINMAX_SC
0,0.032258065,-0.77879853,1.00E-09,-0.293146125,1,1,0.000390004,-0.064759343,0,1,0.467391304,2,0,0.699619772
0,0.086021505,-0.55710318,5.14E-05,-0.291233079,1,0,0.000540005,-0.055857927,0,0,0.434782609,2,0,0.624334601
1,0.032258065,-0.77879853,8.10E-08,-0.293143149,1,1,0.001290013,-0.011350846,0,1,0.434782609,2,1,0.941444867
0,0.032258065,-0.77879853,1.00E-07,-0.293142442,1,1,0.000490013,-0.058824591,0,1,0.543478261,3,0,0.609885932
0,0.032258065,-0.77879853,0.010000161,0.078881295,1,1,0.000490001,-0.058825303,1,1,0.489130435,2,1,0.896958175
1,0.032258065,-0.77879853,8.10E-08,-0.293143149,1,1,0.000288999,-0.070753201,0,1,0.489130435,3,1,0.628136882
1,0.215053763,-0.025034338,0.001312501,-0.244318307,1,1,0.025190256,1.406941716,0,1,0.489130435,2,0,0
1,0.032258065,-0.77879853,0.004400109,-0.129452661,1,0,0.00099001,-0.029153678,1,1,0.467391304,2,1,0.942585551
0,0.086021505,-0.55710318,0.008000001,0.00447105,1,1,0.000740011,-0.043989134,0,1,0.358695652,1,1,0.215589354
1,0.193548387,-0.113712479,1.00E-09,-0.293146125,1,1,0.001481291,0,0,1,0.652173913,3,0,0.517110266
